city,unique_users
Алматы,70
Нур-Султан,47
Новосибирск,35
Бишкек,30
Москва,19
Тюмень,18
Челябинск,18
Красноярск,17
Иркутск,14
Санкт-Петербург,12
Краснодар,12
Якутск,12
Омск,11
Пермь,11
Владивосток,11
Хабаровск,11
Шымкент,10
Барнаул,9
Казань,9
Павлодар,8
Усть-Каменогорск,8
Караганда,8
Уфа,8
Благовещенск,6
Калининград,6
Сургут,6
Томск,6
Кокшетау,6
Атырау,6
Южно-Сахалинск,5
Самара,5
Екатеринбург,5
Оренбург,5
Уральск,5
Актау,4
Новокузнецк,4
КавМинВоды,4
Братск,4
Улан-Удэ,4
Набережные Челны,4
Новороссийск,4
Махачкала,4
Кемерово,4
Комсомольск-на-Амуре,4
Бийск,3
Тула,3
Мурманск,3
Астрахань,3
Курган,3
ОАЭ,3
Костанай,3
Нижний Новгород,3
Ижевск,3
Тольятти,3
Тамбов,2
Сыктывкар,2
Иваново,2
Ставрополь,2
Сочи,2
Актобе,2
Киров,2
Армавир,2
Воронеж,2
Рязань,2
Ростов-на-Дону,2
Петропавловск-Камчатский,2
Петропавловск,2
Липецк,2
Ульяновск,2
Чита,2
Тараз,2
Уссурийск,1
Шерегеш,1
Чебоксары,1
Абакан,1
Стерлитамак,1
Курск,1
Архангельск,1
Барабинск,1
Вологда,1
Грозный,1
Йошкар-Ола,1
Крым,1
Кызылорда,1
Смоленск,1
Магнитогорск,1
Нижневартовск,1
Одесса,1
Пенза,1
Саранск,1
Саратов,1
Нижний Тагил,1
