platform,source,unique_users,sessions
2GIS 4 Android,android-app://com.whatsapp,134,199
2GIS 4 Android,android-app://ru.dublgis.dgismobile,75,80
2GIS 4 Android,android-app://com.yandex.browser,22,29
2GIS 4 Android,android-app://com.whatsapp.w4b,18,29
2GIS 4 Android,android-app://ru.yandex.searchplugin,18,25
2GIS 4 Android,android-app://sinet.startup.inDriver,15,63
2GIS 4 Android,android-app://com.taxsee.driver,13,47
2GIS 4 Android,android-app://com.instagram.android,12,13
2GIS 4 Android,android-app://org.telegram.messenger,8,10
2GIS 4 Android,android-app://com.viber.voip,6,6
2GIS 4 Android,android-app://com.dss.doublegis,4,4
2GIS 4 Android,android-app://ru.dublgis.dgismobile4preview,4,4
2GIS 4 Android,android-app://com.drivee.taxi.rides,3,5
2GIS 4 Android,android-app://ru.dublgis.world2,3,3
2GIS 4 Android,android-app://com.dodopizza.driveapp,2,22
2GIS 4 Android,android-app://com.codebusters.onefit,2,3
2GIS 4 Android,android-app://com.android.chrome,2,2
2GIS 4 Android,android-app://com.google.android.apps.messaging,2,2
2GIS 4 Android,android-app://com.google.android.as,2,2
2GIS 4 Android,android-app://com.google.android.ext.services,2,2
2GIS 4 Android,android-app://com.sebbia.delivery,2,2
2GIS 4 Android,android-app://com.yandex.searchapp,2,2
2GIS 4 Android,android-app://ru.citymobil.cargo,1,31
2GIS 4 Android,android-app://com.logistics.rider.talabat,1,9
2GIS 4 Android,android-app://ru.pizzasoft.courier,1,7
2GIS 4 Android,android-app://com.fdelivery.courier,1,6
2GIS 4 Android,android-app://team.lms.corefield,1,6
2GIS 4 Android,android-app://com.xiaomi.scanner,1,3
2GIS 4 Android,android-app://su.skat.client,1,3
2GIS 4 Android,android-app://com.app.peshkariki,1,2
2GIS 4 Android,android-app://com.axidep.inettaxi,1,2
2GIS 4 Android,android-app://com.qleancleaners,1,2
2GIS 4 Android,android-app://com.riesapp,1,2
2GIS 4 Android,android-app://kz.aparu.aparupassenger,1,2
2GIS 4 Android,android-app://ru.taximaster.www,1,2
2GIS 4 Android,android-app://com.findelivery.findelivery,1,1
2GIS 4 Android,android-app://com.huawei.android.launcher,1,1
2GIS 4 Android,android-app://com.iMe.android,1,1
2GIS 4 Android,android-app://com.mi.globalbrowser,1,1
2GIS 4 Android,android-app://com.perm.kate_new_6,1,1
2GIS 4 Android,android-app://com.samsung.android.messaging,1,1
2GIS 4 Android,android-app://com.sec.android.app.sbrowser,1,1
2GIS 4 Android,android-app://com.vkontakte.android,1,1
2GIS 4 Iphone,https://www.google.com,108,131
2GIS 4 Iphone,https://www.google.com/,90,123
2GIS 4 Iphone,https://yandex.ru/,30,41
2GIS 4 Iphone,https://www.bing.com/,3,23
2GIS 4 Iphone,https://duckduckgo.com/,1,1
2GIS 4 Iphone,https://ya.ru/,1,1
2GIS 4 Iphone,https://yandex.kz/,1,1
